name,latitude,longitude,city,id
Vezzano-Bivio Val di Cavedine,46.071568,10.994702,Trentino,bus_stop303
Padergnone-Loc.Barbazan,46.060257,10.990201,Trentino,bus_stop304
Padergnone,46.062089,10.98885,Trentino,bus_stop305
Padergnone-Case Enel,46.059535,10.984616,Trentino,bus_stop306
Due Laghi-Hotel Miralaghi,46.058851,10.979179,Trentino,bus_stop307
Castel Toblino,46.056347,10.965435,Trentino,bus_stop308
Sarche-Maso Caffaro,46.04581,10.945322,Trentino,bus_stop309
Sarche-Bar Miravalle,46.04498,10.943845,Trentino,bus_stop310
Comano Terme,46.041193,10.881908,Trentino,bus_stop311
Ponte Arche Autostaz.,46.035587,10.873615,Trentino,bus_stop312
Ponte Arche-Bel Sit,46.036219,10.864706,Trentino,bus_stop313
Ponte Ragoli-Sp34 Dir. Ragoli,46.050483,10.785335,Trentino,bus_stop314
Saone,46.042568,10.767067,Trentino,bus_stop315
"Zuclo Ss237 ""Superm. Lidl""",46.040576,10.749698,Trentino,bus_stop316
Ponte Ragoli-Ss.237-Dir. Saone,46.049763,10.785623,Trentino,bus_stop317
Ragoli-Pez,46.051078,10.781304,Trentino,bus_stop318
Ragoli,46.050948,10.776267,Trentino,bus_stop319
Preore,46.046153,10.758108,Trentino,bus_stop320
Preore-Loc.Signor,46.04462,10.752411,Trentino,bus_stop321
Zuclo Bivio-Segheria Tonello,46.038712,10.744444,Trentino,bus_stop322
Bolbeno-Bivio,46.033969,10.735272,Trentino,bus_stop323
Tione-Bar Arnò,46.034863,10.732479,Trentino,bus_stop324
Tione Autostazione,46.033131,10.726113,Trentino,bus_stop325
Tione-Via Circonvallaz.,46.040221,10.727471,Trentino,bus_stop326
Verdesina Bivio,46.056996,10.716267,Trentino,bus_stop327
Villa Rendena,46.062248,10.712321,Trentino,bus_stop328
Iavrè,46.068035,10.711736,Trentino,bus_stop329
Iavrè-Artigianato,46.070886,10.714294,Trentino,bus_stop330
Darè,46.075922,10.717566,Trentino,bus_stop331
Vigo Rendena,46.078732,10.718955,Trentino,bus_stop332
Vigo Rendena-Biv.Val S.Val.,46.082036,10.722141,Trentino,bus_stop333
Pelugo,46.087077,10.722712,Trentino,bus_stop334
Pelugo-Artigianato,46.087761,10.725074,Trentino,bus_stop335
Borzago,46.098856,10.734735,Trentino,bus_stop336
Spiazzo Rendena,46.103132,10.73769,Trentino,bus_stop337
Mortaso,46.106645,10.739858,Trentino,bus_stop338
Spiazzo Rend.-Concess.Cozzio,46.110256,10.747425,Trentino,bus_stop339
Strembo-Bivio Bocenago,46.118282,10.752804,Trentino,bus_stop340
Strembo,46.120329,10.751976,Trentino,bus_stop341
Caderzone,46.128702,10.756513,Trentino,bus_stop342
Caderzone-Off. Alfa Romeo,46.131331,10.764028,Trentino,bus_stop343
Giustino,46.146116,10.768268,Trentino,bus_stop344
Giustino-Hotell Royal,46.152048,10.76649,Trentino,bus_stop345
Pinzolo,46.157163,10.765985,Trentino,bus_stop346
Pinzolo-Funivie,46.16344,10.765456,Trentino,bus_stop347
Carisolo,46.169319,10.764146,Trentino,bus_stop348
Carisolo-Pinemonte Basso,46.187676,10.772542,Trentino,bus_stop349
S.Antonio di M.-Camping Faè,46.185863,10.779171,Trentino,bus_stop350
S.Antonio di M.-Biv.V.Nambr.,46.188184,10.777522,Trentino,bus_stop351
S.Antonio di M. Punto Info Pab,46.19011,10.786137,Trentino,bus_stop352
S.Antonio di Mavignola,46.191315,10.789131,Trentino,bus_stop353
S.Antonio di M.-Rio Fornas,46.193845,10.795952,Trentino,bus_stop354
S.Antonio di M.-Rio V.Rastrel,46.195038,10.795641,Trentino,bus_stop355
S.Antonio di M.-Palù,46.197237,10.797152,Trentino,bus_stop356
S.Antonio di M.-Mumble Fratè,46.200598,10.804009,Trentino,bus_stop357
Madonna di C.-Loc.Fontanella,46.208855,10.820243,Trentino,bus_stop358
Madonna di C.-H. Lorenzetti,46.214136,10.822362,Trentino,bus_stop359
Madonna di C.-Hotel Betulla,46.220871,10.822454,Trentino,bus_stop360
M.Campiglio Pietra Gr.,46.224519,10.825377,Trentino,bus_stop361
Madonna di C.-Laghetto,46.226018,10.827865,Trentino,bus_stop362
M.Campiglio Des Alpes,46.230343,10.827882,Trentino,bus_stop363
M.Campiglio Pradalago,46.23403,10.826075,Trentino,bus_stop364
Madonna di C.-Hotel Dahu,46.234408,10.823826,Trentino,bus_stop365
M.Campiglio Brenta Alta,46.231941,10.826142,Trentino,bus_stop366
Madonna di C.-Biv. V.Nambino,46.235465,10.826424,Trentino,bus_stop367
Funivia Grostè,46.236312,10.835359,Trentino,bus_stop368
Campo Carlomagno,46.242978,10.840028,Trentino,bus_stop369
Campo Carlomagno,46.243224,10.840249,Trentino,bus_stop370
Funivia Grostè,46.236409,10.83546,Trentino,bus_stop371
S.Massenza,46.065484,10.980459,Trentino,bus_stop372
Madonna di C.-Loc.Fontanella,46.208587,10.819858,Trentino,bus_stop373
S.Antonio di M.-Mumble Fratè,46.200491,10.803661,Trentino,bus_stop374
S.Antonio di Mavignola,46.191345,10.788899,Trentino,bus_stop375
